Country,Label,Population,IncomeGroup,Biophysical ceiling overshoot (number of indicators),Healthcare foundations acheived,Average ecological multiplier without transformation,Extent of shortfall as a percent,Labels
Malta,MLT,"553,214",High income,4,9,3.042,12.7%,
Marshall Islands,MHL,"41,996",Upper middle income,4,#N/A,6.427,#N/A,
Mauritania,MRT,"4,862,989",Lower middle income,1,1,0.569,50.2%,
Mauritius,MUS,"1,261,041",Upper middle income,2,6,0.930,22.9%,
Mexico,MEX,"128,455,567",Upper middle income,2,5,1.713,25.5%,MEX
"Micronesia, Fed. Sts.",FSM,"115,224",Lower middle income,4,#N/A,6.434,#N/A,
Moldova,MDA,"2,486,891",Upper middle income,1,5,1.529,22.1%,
Monaco,MCO,"36,297",High income,#N/A,#N/A,#N/A,#N/A,
Mongolia,MNG,"3,447,157",Upper middle income,2,6,1.016,21.5%,MNG
Montenegro,MNE,"616,177",Upper middle income,5,8,5.300,17.6%,
Morocco,MAR,"37,840,044",Lower middle income,1,2,0.721,36.6%,MAR
Mozambique,MOZ,"33,897,354",Low income,0,0,0.301,59.3%,
Myanmar,MMR,"54,577,997",Lower middle income,1,0,0.480,47.4%,MMR
Namibia,NAM,"2,604,172",Upper middle income,3,1,1.553,34.8%,
Nauru,NRU,"12,780",High income,4,#N/A,6.498,#N/A,
Nepal,NPL,"30,896,590",Lower middle income,2,2,0.595,40.2%,
Netherlands,NLD,"17,879,488",High income,5,9,3.951,11.9%,
New Caledonia,NCL,"267,940",High income,#N/A,#N/A,#N/A,#N/A,
New Zealand,NZL,"5,223,100",High income,6,8,6.352,13.1%,NZL
Nicaragua,NIC,"7,046,310",Lower middle income,1,2,0.427,32.6%,
Niger,NER,"27,202,843",Low income,0,0,0.137,64.9%,
Nigeria,NGA,"223,804,632",Lower middle income,0,1,0.401,57.3%,NGA
North Macedonia,MKD,"1,811,980",Upper middle income,5,8,1.695,17.7%,
Northern Mariana Islands,MNP,"49,796",High income,#N/A,#N/A,#N/A,#N/A,
Norway,NOR,"5,519,594",High income,6,11,6.039,10.8%,
Oman,OMN,"4,644,384",High income,4,6,3.302,23.7%,
Pakistan,PAK,"240,485,658",Lower middle income,1,0,0.501,52.2%,PAK
Palau,PLW,"18,058",High income,5,#N/A,6.643,#N/A,
Panama,PAN,"4,468,087",High income,1,4,0.664,21.6%,
Papua New Guinea,PNG,"10,329,931",Lower middle income,1,0,1.058,55.0%,
Paraguay,PRY,"6,861,524",Upper middle income,3,6,0.825,26.5%,
Peru,PER,"34,352,719",Upper middle income,1,4,0.480,27.9%,
Philippines,PHL,"117,337,368",Lower middle income,0,2,0.317,34.2%,PHL
Poland,POL,"36,685,849",High income,5,7,2.353,18.3%,POL
Portugal,PRT,"10,525,347",High income,5,10,3.154,8.5%,
Puerto Rico,PRI,"3,205,691",High income,2,#N/A,1.670,#N/A,
Qatar,QAT,"2,716,391",High income,3,8,7.073,18.6%,
Romania,ROU,"19,056,116",High income,4,8,1.860,17.9%,
Russian Federation,RUS,"143,826,130",High income,4,6,2.738,18.2%,RUS
Rwanda,RWA,"14,094,683",Low income,0,1,0.398,46.6%,
Samoa,WSM,"225,681",Lower middle income,4,2,6.448,43.3%,
San Marino,SMR,"33,642",High income,5,#N/A,5.261,#N/A,
Sao Tome and Principe,STP,"231,856",Lower middle income,1,2,0.895,36.1%,
Saudi Arabia,SAU,"36,947,025",High income,5,6,4.255,20.1%,SAU
Senegal,SEN,"17,763,163",Lower middle income,0,1,0.314,51.4%,
Serbia,SRB,"6,618,026",Upper middle income,4,7,1.405,19.3%,
Seychelles,SYC,"119,773",High income,2,9,1.050,21.9%,SYC
Sierra Leone,SLE,"8,791,092",Low income,0,1,0.200,57.0%,
Singapore,SGP,"5,917,648",High income,5,10,3.974,11.4%,
Sint Maarten (Dutch part),,"41,163",High income,#N/A,#N/A,#N/A,#N/A,
Slovak Republic,SVK,"5,426,740",High income,5,8,2.346,11.5%,
Slovenia,SVN,"2,120,937",High income,5,9,3.302,13.7%,
Solomon Islands,SLB,"740,424",Lower middle income,4,1,6.410,45.1%,
Somalia,SOM,"18,143,378",Low income,0,0,0.231,70.3%,
South Africa,ZAF,"60,414,495",Upper middle income,3,3,1.696,31.7%,ZAF
South Sudan,SSD,"11,088,796",Low income,#N/A,0,#N/A,71.5%,
Spain,ESP,"48,373,336",High income,6,9,2.965,8.2%,ESP
Sri Lanka,LKA,"22,037,000",Lower middle income,0,6,0.433,25.2%,
St. Kitts and Nevis,KNA,"47,755",High income,2,#N/A,1.579,#N/A,
St. Lucia,LCA,"180,251",Upper middle income,1,2,1.530,31.7%,
St. Martin (French part),,"32,077",High income,#N/A,#N/A,#N/A,#N/A,
St. Vincent and the Grenadines,VCT,"103,698",Upper middle income,1,6,1.530,25.4%,
Sudan,SDN,"48,109,006",Low income,1,0,0.869,53.2%,SDN
Suriname,SUR,"623,236",Upper middle income,1,4,1.755,29.1%,
Sweden,SWE,"10,536,632",High income,4,11,3.831,11.1%,SWE
Switzerland,CHE,"8,849,852",High income,6,12,8.341,8.2%,CHE
Syrian Arab Republic,SYR,"23,227,014",Low income,2,3,0.799,34.3%,
"Taiwan, China",TWN,#N/A,High income,#N/A,#N/A,#N/A,#N/A,#N/A
Tajikistan,TJK,"10,143,543",Lower middle income,2,6,0.664,29.4%,
Tanzania,TZA,"67,438,106",Lower middle income,1,1,0.395,49.5%,TZA
Thailand,THA,"71,801,279",Upper middle income,2,5,1.402,25.1%,THA
Timor-Leste,TLS,"1,360,596",Lower middle income,4,0,4.536,45.5%,
Togo,TGO,"9,053,799",Low income,1,0,0.509,57.4%,
Tonga,TON,"107,773",Upper middle income,4,#N/A,6.443,#N/A,
Trinidad and Tobago,TTO,"1,534,937",High income,2,5,1.691,27.8%,
Tunisia,TUN,"12,458,223",Lower middle income,2,3,1.031,26.5%,
Turkiye,TUR,"85,326,000",Upper middle income,4,8,1.869,17.0%,TUR
Turkmenistan,TKM,"6,516,100",Upper middle income,2,6,2.001,22.0%,
Turks and Caicos Islands,TCA,"46,062",High income,#N/A,#N/A,#N/A,#N/A,
Tuvalu,TUV,"11,396",Upper middle income,4,#N/A,6.459,#N/A,
Uganda,UGA,"48,582,334",Low income,1,1,0.506,45.7%,UGA
Ukraine,UKR,"37,000,000",Upper middle income,1,5,0.828,19.7%,UKR
United Arab Emirates,ARE,"9,516,871",High income,2,7,3.609,21.6%,
United Kingdom,GBR,"68,350,000",High income,5,7,3.663,8.9%,GBR
United States,USA,"334,914,895",High income,6,10,10.024,9.8%,USA
Uruguay,URY,"3,423,108",High income,4,6,2.308,17.4%,
Uzbekistan,UZB,"36,412,350",Lower middle income,1,6,0.605,26.9%,UZB
Vanuatu,VUT,"334,506",Lower middle income,4,#N/A,6.439,#N/A,
"Venezuela, RB",VEN,"28,838,499",Upper middle income,2,1,0.817,40.3%,
Viet Nam,VNM,"98,858,950",Lower middle income,3,4,0.892,32.7%,VNM
Virgin Islands (U.S.),,"104,917",High income,#N/A,#N/A,#N/A,#N/A,
West Bank and Gaza,PSE,"5,165,775",Lower middle income,#N/A,1,#N/A,30.7%,
"Yemen, Rep.",YEM,"34,449,825",Low income,1,#N/A,0.659,#N/A,
Zambia,ZMB,"20,569,737",Lower middle income,0,0,0.398,41.7%,
Zimbabwe,ZWE,"16,665,409",Lower middle income,1,2,0.519,46.0%,
,,,,,,,,
,,,,,,0.137,,
,,,,,,10.024,,
